"","model","dic","ddic"
"3",3,13722187.180262,0
"4",4,13722199.0072787,11.8270166981965
"2",2,13722234.9432278,47.7629657834768
"1",1,13722312.2696472,125.089385153726
"7",7,13722344.6124455,157.432183519006
"8",8,13722346.8057185,159.625456480309
"6",6,13722359.6990791,172.518817098811
"5",5,13722448.0277921,260.847530066967
