"","model","modelName","dic","ddic","mlik","w"
"3",3,"Stage, Temperature, Reach",11900795.0141231,0,1,0.856108623547491
"4",4,"Stage, Temperature, Interaction, Reach",11900798.5808003,3.56667722947896,0.168076068269196,0.143891371457216
"2",2,"Temperature, Reach",11900832.9439751,37.9298520553857,5.80279564541192e-09,4.96782339272098e-09
"1",1,"Stage, Reach",11900843.3392773,48.3251542188227,3.20867767661665e-11,2.74697662913584e-11
"8",8,"Stage, Temperature, Interaction",11900883.7397089,88.7255858164281,5.41357101420695e-20,4.63460482944931e-20
"7",7,"Stage, Temperature",11900896.2972521,101.283129040152,1.0154252860716e-22,8.69314343974078e-23
"6",6,"Temperature",11900912.2527789,117.238655822352,3.48296696489619e-26,2.98179805417866e-26
"5",5,"Stage",11900931.8930036,136.878880573437,1.89290465364931e-30,1.62053199754235e-30
