Stage,Hab 1,Hab 2,Hab 3,Hab 4,Hab 5,Hab 6,Hab 7
10.68,26763722,15360784,14687870,1797527,5404944,3346089,38249
9.56,26763722,15114077,14355609,1640187,4971288,3205677,38068
7.3,26763722,14653718,14172076,1586197,4683080,2922961,240588
5.95,26763722,14411932,14065812,1513602,4336767,2790495,235938
4.58,26756000,12966622,13247708,1339610,4023512,2278254,95126
2.77,26734341,11348903,11775258,1131542,3336233,480547,8835
0.17,26664828,8330508,9060315,911628,2798311,0,0
-0.45,26380293,6212777,6239576,738889,2495508,0,0
